zona,cadena,cine,direccion,pelicula,formato,horario,precio_general,precio_jubilado,precio_menor,url_pelicula
CABA,Multiplex,Multiplex Belgrano,"Vuelta de Obligado 2199, Belgrano",Digger,COMFORT PLUS 2D Subtitulada,13:00,,,,https://multiplex.com.ar/peliculas/digger/
CABA,Multiplex,Multiplex Belgrano,"Vuelta de Obligado 2199, Belgrano",Digger,COMFORT PLUS 2D Subtitulada,15:25,,,,https://multiplex.com.ar/peliculas/digger/
CABA,Multiplex,Multiplex Belgrano,"Vuelta de Obligado 2199, Belgrano",Digger,COMFORT PLUS 2D Subtitulada,17:50,,,,https://multiplex.com.ar/peliculas/digger/
CABA,Multiplex,Multiplex Belgrano,"Vuelta de Obligado 2199, Belgrano",Digger,COMFORT PLUS 2D Subtitulada,20:15,,,,https://multiplex.com.ar/peliculas/digger/
CABA,Multiplex,Multiplex Belgrano,"Vuelta de Obligado 2199, Belgrano",Digger,COMFORT PLUS 2D Subtitulada,22:40,,,,https://multiplex.com.ar/peliculas/digger/
CABA,Multiplex,Multiplex Belgrano,"Vuelta de Obligado 2199, Belgrano",Linkin Park: Unshatter,COMFORT PLUS 2D Subtitulada,21:00,,,,https://multiplex.com.ar/peliculas/linkin-park-unshatter/
CABA,Multiplex,Multiplex Belgrano,"Vuelta de Obligado 2199, Belgrano",Verity. La sombra de un engaño,COMFORT PLUS 2D Subtitulada,13:15,,,,https://multiplex.com.ar/peliculas/verityla-sombra-de-un-engano/
CABA,Multiplex,Multiplex Belgrano,"Vuelta de Obligado 2199, Belgrano",Verity. La sombra de un engaño,COMFORT PLUS 2D Subtitulada,15:30,,,,https://multiplex.com.ar/peliculas/verityla-sombra-de-un-engano/
CABA,Multiplex,Multiplex Belgrano,"Vuelta de Obligado 2199, Belgrano",Verity. La sombra de un engaño,COMFORT PLUS 2D Subtitulada,17:45,,,,https://multiplex.com.ar/peliculas/verityla-sombra-de-un-engano/
CABA,Multiplex,Multiplex Belgrano,"Vuelta de Obligado 2199, Belgrano",Verity. La sombra de un engaño,COMFORT PLUS 2D Subtitulada,20:00,,,,https://multiplex.com.ar/peliculas/verityla-sombra-de-un-engano/
CABA,Multiplex,Multiplex Belgrano,"Vuelta de Obligado 2199, Belgrano",Verity. La sombra de un engaño,COMFORT PLUS 2D Subtitulada,22:15,,,,https://multiplex.com.ar/peliculas/verityla-sombra-de-un-engano/
GBA Norte,Showcase,IMAX Showcase Norte,"Av. Ricardo Balbín 2550, Shopping Norcenter",Digger,IMAX Subtitulada,14:00,,,,https://cartelera.ar/pelicula/digger
GBA Norte,Showcase,IMAX Showcase Norte,"Av. Ricardo Balbín 2550, Shopping Norcenter",Digger,IMAX Subtitulada,16:50,,,,https://cartelera.ar/pelicula/digger
GBA Norte,Showcase,IMAX Showcase Norte,"Av. Ricardo Balbín 2550, Shopping Norcenter",Digger,IMAX Subtitulada,19:40,,,,https://cartelera.ar/pelicula/digger
GBA Norte,Showcase,IMAX Showcase Norte,"Av. Ricardo Balbín 2550, Shopping Norcenter",Digger,IMAX Subtitulada,22:30,,,,https://cartelera.ar/pelicula/digger
GBA Oeste,Showcase,Showcase Haedo,"Av. Rivadavia 16.200, Shopping Haedo",Digger,2D Subtitulada,14:20,,,,https://cartelera.ar/pelicula/digger
GBA Oeste,Showcase,Showcase Haedo,"Av. Rivadavia 16.200, Shopping Haedo",Digger,2D Subtitulada,17:05,,,,https://cartelera.ar/pelicula/digger
GBA Oeste,Showcase,Showcase Haedo,"Av. Rivadavia 16.200, Shopping Haedo",Digger,2D Subtitulada,19:50,,,,https://cartelera.ar/pelicula/digger
GBA Oeste,Showcase,Showcase Haedo,"Av. Rivadavia 16.200, Shopping Haedo",Digger,2D Subtitulada,22:35,,,,https://cartelera.ar/pelicula/digger
GBA Oeste,Showcase,Showcase Haedo,"Av. Rivadavia 16.200, Shopping Haedo",Verity. La sombra de un engaño,2D Subtitulada,14:30,,,,https://cartelera.ar/pelicula/verity-la-sombra-de-un-engano
GBA Oeste,Showcase,Showcase Haedo,"Av. Rivadavia 16.200, Shopping Haedo",Verity. La sombra de un engaño,2D Subtitulada,17:10,,,,https://cartelera.ar/pelicula/verity-la-sombra-de-un-engano
GBA Oeste,Showcase,Showcase Haedo,"Av. Rivadavia 16.200, Shopping Haedo",Verity. La sombra de un engaño,2D Subtitulada,19:45,,,,https://cartelera.ar/pelicula/verity-la-sombra-de-un-engano
GBA Oeste,Showcase,Showcase Haedo,"Av. Rivadavia 16.200, Shopping Haedo",Verity. La sombra de un engaño,2D Subtitulada,22:25,,,,https://cartelera.ar/pelicula/verity-la-sombra-de-un-engano
GBA Norte,Showcase,Showcase Norte (Norcenter),"Colectora Panamericana 3750, Norcenter",Digger,2D Subtitulada,14:20,,,,https://cartelera.ar/pelicula/digger
GBA Norte,Showcase,Showcase Norte (Norcenter),"Colectora Panamericana 3750, Norcenter",Digger,2D Subtitulada,17:05,,,,https://cartelera.ar/pelicula/digger
GBA Norte,Showcase,Showcase Norte (Norcenter),"Colectora Panamericana 3750, Norcenter",Digger,2D Subtitulada,19:50,,,,https://cartelera.ar/pelicula/digger
GBA Norte,Showcase,Showcase Norte (Norcenter),"Colectora Panamericana 3750, Norcenter",Digger,2D Subtitulada,22:35,,,,https://cartelera.ar/pelicula/digger
