zona,cadena,cine,direccion,pelicula,formato,horario,precio_general,precio_jubilado,precio_menor,url_pelicula
CABA,Cinemark Hoyts,Hoyts Dot Baires,"Vedia 3626, Dot Baires Mall, Saavedra",Coyote vs. Acme,2D Doblada,11:50,,,,https://www.cinemark.com.ar/peliculas/coyote-vs-acme
CABA,Cinemark Hoyts,Hoyts Dot Baires,"Vedia 3626, Dot Baires Mall, Saavedra",Coyote vs. Acme,2D Doblada,14:20,,,,https://www.cinemark.com.ar/peliculas/coyote-vs-acme
CABA,Cinemark Hoyts,Hoyts Dot Baires,"Vedia 3626, Dot Baires Mall, Saavedra",Coyote vs. Acme,2D Doblada,16:50,,,,https://www.cinemark.com.ar/peliculas/coyote-vs-acme
CABA,Cinemark Hoyts,Hoyts Dot Baires,"Vedia 3626, Dot Baires Mall, Saavedra",Coyote vs. Acme,2D Doblada,19:20,,,,https://www.cinemark.com.ar/peliculas/coyote-vs-acme
CABA,Cinemark Hoyts,Hoyts Dot Baires,"Vedia 3626, Dot Baires Mall, Saavedra",Harry Potter 25° Aniversario,2D Subtitulada,16:30,,,,https://www.cinemark.com.ar/peliculas/harry-potter-y-la-piedra-filosofal-25-aniversario
CABA,Cinemark Hoyts,Hoyts Dot Baires,"Vedia 3626, Dot Baires Mall, Saavedra",Harry Potter 25° Aniversario,XD 2D Subtitulada,19:00,,,,https://www.cinemark.com.ar/peliculas/harry-potter-y-la-piedra-filosofal-25-aniversario
CABA,Cinemark Hoyts,Hoyts Dot Baires,"Vedia 3626, Dot Baires Mall, Saavedra",Harry Potter 25° Aniversario,4D 2D Doblada,22:00,,,,https://www.cinemark.com.ar/peliculas/harry-potter-y-la-piedra-filosofal-25-aniversario
CABA,Cinemark Hoyts,Hoyts Dot Baires,"Vedia 3626, Dot Baires Mall, Saavedra",Insidious: Fuera del más allá,2D Subtitulada,12:50,,,,https://www.cinemark.com.ar/peliculas/la-noche-del-demonio-estan-entre-nosotros
CABA,Cinemark Hoyts,Hoyts Dot Baires,"Vedia 3626, Dot Baires Mall, Saavedra",Insidious: Fuera del más allá,2D Subtitulada,15:30,,,,https://www.cinemark.com.ar/peliculas/la-noche-del-demonio-estan-entre-nosotros
CABA,Cinemark Hoyts,Hoyts Dot Baires,"Vedia 3626, Dot Baires Mall, Saavedra",Insidious: Fuera del más allá,2D Subtitulada,18:00,,,,https://www.cinemark.com.ar/peliculas/la-noche-del-demonio-estan-entre-nosotros
CABA,Cinemark Hoyts,Hoyts Dot Baires,"Vedia 3626, Dot Baires Mall, Saavedra",Insidious: Fuera del más allá,2D Subtitulada,20:20,,,,https://www.cinemark.com.ar/peliculas/la-noche-del-demonio-estan-entre-nosotros
CABA,Cinemark Hoyts,Hoyts Dot Baires,"Vedia 3626, Dot Baires Mall, Saavedra",Insidious: Fuera del más allá,2D Subtitulada,23:10,,,,https://www.cinemark.com.ar/peliculas/la-noche-del-demonio-estan-entre-nosotros
CABA,Cinemark Hoyts,Hoyts Dot Baires,"Vedia 3626, Dot Baires Mall, Saavedra",La constelación del perro,2D Subtitulada,12:00,,,,https://cartelera.ar/pelicula/la-constelacion-del-perro
