zona,cadena,cine,direccion,pelicula,formato,horario,precio_general,precio_jubilado,precio_menor,url_pelicula
CABA,Cinemark Hoyts,Cinemark Caballito,"Av. La Plata 96, Caballito",CORALINE,3D Doblada,15:30,,,,https://www.cinemark.com.ar/peliculas/coraline-y-la-puerta-secreta
CABA,Cinemark Hoyts,Cinemark Caballito,"Av. La Plata 96, Caballito",Coyote vs. Acme,2D Doblada,12:00,,,,https://www.cinemark.com.ar/peliculas/coyote-vs-acme
CABA,Cinemark Hoyts,Cinemark Caballito,"Av. La Plata 96, Caballito",Coyote vs. Acme,2D Doblada,14:30,,,,https://www.cinemark.com.ar/peliculas/coyote-vs-acme
CABA,Cinemark Hoyts,Cinemark Caballito,"Av. La Plata 96, Caballito",Coyote vs. Acme,2D Doblada,17:00,,,,https://www.cinemark.com.ar/peliculas/coyote-vs-acme
CABA,Cinemark Hoyts,Cinemark Caballito,"Av. La Plata 96, Caballito",Coyote vs. Acme,2D Doblada,19:40,,,,https://www.cinemark.com.ar/peliculas/coyote-vs-acme
CABA,Cinemark Hoyts,Cinemark Caballito,"Av. La Plata 96, Caballito",HECHIZO DE AMOR: LA MAGIA CONTINUA,2D Subtitulada,20:20,,,,https://www.cinemark.com.ar/peliculas/hechizo-de-amor-la-magia-continua
CABA,Cinemark Hoyts,Cinemark Caballito,"Av. La Plata 96, Caballito",HECHIZO DE AMOR: LA MAGIA CONTINUA,2D Subtitulada,22:40,,,,https://www.cinemark.com.ar/peliculas/hechizo-de-amor-la-magia-continua
CABA,Cinemark Hoyts,Cinemark Caballito,"Av. La Plata 96, Caballito",Insidious: Fuera del más allá,2D Subtitulada,17:45,,,,https://www.cinemark.com.ar/peliculas/la-noche-del-demonio-estan-entre-nosotros
CABA,Cinemark Hoyts,Cinemark Caballito,"Av. La Plata 96, Caballito",Insidious: Fuera del más allá,2D Subtitulada,23:00,,,,https://www.cinemark.com.ar/peliculas/la-noche-del-demonio-estan-entre-nosotros
CABA,Cinemark Hoyts,Cinemark Caballito,"Av. La Plata 96, Caballito",La Odisea,2D Subtitulada,19:00,,,,https://www.cinemark.com.ar/peliculas/la-odisea
