zona,cadena,cine,direccion,pelicula,formato,horario,precio_general,precio_jubilado,precio_menor,url_pelicula
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La invitación,2D Subtitulada,21:00,,,,https://cartelera.ar/pelicula/la-invitacion
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La invitación,2D Subtitulada,23:00,,,,https://cartelera.ar/pelicula/la-invitacion
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,11:45,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,14:20,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,15:20,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,18:00,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,19:00,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,21:40,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,22:40,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",El Final de la Calle Oak,2D Subtitulada,22:45,,,,https://cartelera.ar/pelicula/el-final-de-la-calle-oak
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",PAW Patrol: La Dino Película,2D Doblada,12:10,,,,https://cartelera.ar/pelicula/paw-patrol-la-dino-pelicula
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Muerte De Robin Hood,2D Subtitulada,17:30,,,,https://cartelera.ar/pelicula/la-muerte-de-robin-hood
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La noche del demonio: Están entre nosotros,2D Subtitulada,01:10,,,,https://cartelera.ar/pelicula/la-noche-del-demonio-estan-entre-nosotros
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La noche del demonio: Están entre nosotros,2D Subtitulada,20:30,,,,https://cartelera.ar/pelicula/la-noche-del-demonio-estan-entre-nosotros
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La noche del demonio: Están entre nosotros,2D Subtitulada,23:30,,,,https://cartelera.ar/pelicula/la-noche-del-demonio-estan-entre-nosotros
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Solo por una noche,2D Subtitulada,12:30,,,,https://cartelera.ar/pelicula/solo-por-una-noche
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Solo por una noche,2D Subtitulada,20:15,,,,https://cartelera.ar/pelicula/solo-por-una-noche
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Harry Potter y la piedra filosofal,2D Subtitulada,22:15,,,,https://cartelera.ar/pelicula/harry-potter-y-la-piedra-filosofal
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Coyote vs. Acme,2D Doblada,12:15,,,,https://cartelera.ar/pelicula/coyote-vs-acme
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Coyote vs. Acme,2D Subtitulada,14:40,,,,https://cartelera.ar/pelicula/coyote-vs-acme
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Coyote vs. Acme,2D Subtitulada,18:00,,,,https://cartelera.ar/pelicula/coyote-vs-acme
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Yo Narciso,2D Doblada,00:40,,,,
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Yo Narciso,2D Doblada,11:50,,,,
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Yo Narciso,2D Doblada,13:00,,,,
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Yo Narciso,2D Doblada,14:10,,,,
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Yo Narciso,2D Doblada,15:20,,,,
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Yo Narciso,2D Doblada,16:30,,,,
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Yo Narciso,2D Doblada,17:40,,,,
