zona,cadena,cine,direccion,pelicula,formato,horario,precio_general,precio_jubilado,precio_menor,url_pelicula
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Los Colores Del Tiempo,2D Subtitulada,14:30,,,,https://cartelera.ar/pelicula/los-colores-del-tiempo
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Afterburn (Zona cero),2D Subtitulada,22:30,,,,https://cartelera.ar/pelicula/afterburn-zona-cero
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La invitación,2D Subtitulada,17:45,,,,https://cartelera.ar/pelicula/la-invitacion
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La invitación,2D Subtitulada,18:15,,,,https://cartelera.ar/pelicula/la-invitacion
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La invitación,2D Subtitulada,20:15,,,,https://cartelera.ar/pelicula/la-invitacion
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La invitación,2D Subtitulada,22:45,,,,https://cartelera.ar/pelicula/la-invitacion
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Primavera en Beechwood,2D Subtitulada,16:30,,,,https://cartelera.ar/pelicula/primavera-en-beechwood
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,11:45,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,14:30,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,15:20,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,19:00,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,21:30,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,22:40,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Spider-Man: Un nuevo día,3D Subtitulada,15:45,,,,https://cartelera.ar/pelicula/spider-man-un-nuevo-dia
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Spider-Man: Un nuevo día,2D Subtitulada,16:15,,,,https://cartelera.ar/pelicula/spider-man-un-nuevo-dia
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Spider-Man: Un nuevo día,3D Subtitulada,19:00,,,,https://cartelera.ar/pelicula/spider-man-un-nuevo-dia
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Una quinta en Portugal,2D Doblada,20:30,,,,https://cartelera.ar/pelicula/una-quinta-en-portugal
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La noche del demonio: Están entre nosotros,2D Subtitulada,23:10,,,,https://cartelera.ar/pelicula/la-noche-del-demonio-estan-entre-nosotros
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Pepita la Pistolera,2D Doblada,13:00,,,,https://cartelera.ar/pelicula/pepita-la-pistolera
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Pepita la Pistolera,2D Doblada,15:20,,,,https://cartelera.ar/pelicula/pepita-la-pistolera
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Pepita la Pistolera,2D Doblada,17:45,,,,https://cartelera.ar/pelicula/pepita-la-pistolera
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Pepita la Pistolera,2D Doblada,20:00,,,,https://cartelera.ar/pelicula/pepita-la-pistolera
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Pepita la Pistolera,2D Doblada,22:20,,,,https://cartelera.ar/pelicula/pepita-la-pistolera
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Terminator 2: El juicio final,2D Subtitulada,22:00,,,,https://cartelera.ar/pelicula/terminator-2-el-juicio-final
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La constelación del perro,2D Subtitulada,13:00,,,,https://cartelera.ar/pelicula/la-constelacion-del-perro
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La constelación del perro,2D Subtitulada,19:20,,,,https://cartelera.ar/pelicula/la-constelacion-del-perro
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La constelación del perro,2D Subtitulada,22:10,,,,https://cartelera.ar/pelicula/la-constelacion-del-perro
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Coyote vs. Acme,2D Doblada,13:00,,,,https://cartelera.ar/pelicula/coyote-vs-acme
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Coyote vs. Acme,2D Subtitulada,15:30,,,,https://cartelera.ar/pelicula/coyote-vs-acme
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Coyote vs. Acme,2D Subtitulada,18:00,,,,https://cartelera.ar/pelicula/coyote-vs-acme
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Yo Narciso,2D Doblada,12:20,,,,
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Yo Narciso,2D Doblada,17:15,,,,
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Yo Narciso,2D Doblada,19:30,,,,
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Yo Narciso,2D Doblada,21:50,,,,
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta","Adolescencia, sexo y muerte en campamento Miasma",2D Subtitulada,13:40,,,,https://cartelera.ar/pelicula/adolescencia-sexo-y-muerte-en-campamento-miasma
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",El Gran Falsificador,2D Subtitulada,17:20,,,,
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Tierra De Crimen,2D Subtitulada,14:50,,,,
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Tres adioses,2D Subtitulada,19:00,,,,
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Testa o Croce?,2D Subtitulada,21:30,,,,
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Esa cosa con alas,2D Subtitulada,20:10,,,,
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Afterburn (Zona cero),2D Doblada,15:10,,,,https://cartelera.ar/pelicula/afterburn-zona-cero
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Afterburn (Zona cero),2D Doblada,17:50,,,,https://cartelera.ar/pelicula/afterburn-zona-cero
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Afterburn (Zona cero),2D Subtitulada,23:10,,,,https://cartelera.ar/pelicula/afterburn-zona-cero
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",La Negociación (The Negotiation),2D Subtitulada,20:10,,,,https://cartelera.ar/pelicula/la-negociacion-the-negotiation
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",La invitación,2D Subtitulada,21:50,,,,https://cartelera.ar/pelicula/la-invitacion
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",La Odisea,2D Subtitulada,12:00,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",La Odisea,2D Subtitulada,15:30,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",La Odisea,2D Subtitulada,19:00,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",La Odisea,2D Subtitulada,22:30,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Spider-Man: Un nuevo día,4DX Doblada,12:20,,,,https://cartelera.ar/pelicula/spider-man-un-nuevo-dia
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Spider-Man: Un nuevo día,2D Doblada,13:00,,,,https://cartelera.ar/pelicula/spider-man-un-nuevo-dia
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Spider-Man: Un nuevo día,4DX Doblada,15:30,,,,https://cartelera.ar/pelicula/spider-man-un-nuevo-dia
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Spider-Man: Un nuevo día,2D Doblada,16:00,,,,https://cartelera.ar/pelicula/spider-man-un-nuevo-dia
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Spider-Man: Un nuevo día,4DX Doblada,18:30,,,,https://cartelera.ar/pelicula/spider-man-un-nuevo-dia
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Spider-Man: Un nuevo día,2D Doblada,19:00,,,,https://cartelera.ar/pelicula/spider-man-un-nuevo-dia
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Spider-Man: Un nuevo día,4DX Doblada,21:30,,,,https://cartelera.ar/pelicula/spider-man-un-nuevo-dia
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Spider-Man: Un nuevo día,2D Subtitulada,22:30,,,,https://cartelera.ar/pelicula/spider-man-un-nuevo-dia
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Toy Story 5,2D Doblada,12:50,,,,https://cartelera.ar/pelicula/toy-story-5
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Minions & monstruos,2D Doblada,13:20,,,,https://cartelera.ar/pelicula/minions-monstruos
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Minions & monstruos,2D Doblada,15:30,,,,https://cartelera.ar/pelicula/minions-monstruos
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",El Final de la Calle Oak,2D Doblada,18:40,,,,https://cartelera.ar/pelicula/el-final-de-la-calle-oak
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",PAW Patrol: La Dino Película,2D Doblada,12:20,,,,https://cartelera.ar/pelicula/paw-patrol-la-dino-pelicula
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",PAW Patrol: La Dino Película,2D Doblada,14:30,,,,https://cartelera.ar/pelicula/paw-patrol-la-dino-pelicula
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Pepita la Pistolera,2D Doblada,13:00,,,,https://cartelera.ar/pelicula/pepita-la-pistolera
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Pepita la Pistolera,2D Doblada,15:20,,,,https://cartelera.ar/pelicula/pepita-la-pistolera
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Pepita la Pistolera,2D Doblada,17:40,,,,https://cartelera.ar/pelicula/pepita-la-pistolera
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Pepita la Pistolera,2D Doblada,20:00,,,,https://cartelera.ar/pelicula/pepita-la-pistolera
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Pepita la Pistolera,2D Doblada,22:20,,,,https://cartelera.ar/pelicula/pepita-la-pistolera
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Terminator 2: El juicio final,2D Subtitulada,22:00,,,,https://cartelera.ar/pelicula/terminator-2-el-juicio-final
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",La constelación del perro,2D Doblada,17:40,,,,https://cartelera.ar/pelicula/la-constelacion-del-perro
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Coyote vs. Acme,2D Doblada,12:30,,,,https://cartelera.ar/pelicula/coyote-vs-acme
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Coyote vs. Acme,2D Doblada,14:50,,,,https://cartelera.ar/pelicula/coyote-vs-acme
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Coyote vs. Acme,2D Doblada,17:10,,,,https://cartelera.ar/pelicula/coyote-vs-acme
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Coyote vs. Acme,2D Doblada,19:30,,,,https://cartelera.ar/pelicula/coyote-vs-acme
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Insidious: Fuera del más allá,2D Doblada,20:30,,,,https://cartelera.ar/pelicula/insidious-fuera-del-mas-alla
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Insidious: Fuera del más allá,2D Subtitulada,22:50,,,,https://cartelera.ar/pelicula/insidious-fuera-del-mas-alla
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Yo Narciso,2D Doblada,12:10,,,,
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Yo Narciso,2D Doblada,14:10,,,,
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Yo Narciso,2D Doblada,16:20,,,,
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Yo Narciso,2D Doblada,18:15,,,,
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Yo Narciso,2D Doblada,20:30,,,,
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Yo Narciso,2D Doblada,22:40,,,,
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Esa cosa con alas,2D Subtitulada,16:30,,,,
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Esa cosa con alas,2D Subtitulada,20:50,,,,
GBA Norte,Showcase,IMAX Showcase Norte,"Av. Ricardo Balbín 2550, Shopping Norcenter",Afterburn (Zona cero),IMAX Subtitulada,22:35,,,,https://cartelera.ar/pelicula/afterburn-zona-cero
GBA Norte,Showcase,IMAX Showcase Norte,"Av. Ricardo Balbín 2550, Shopping Norcenter",La Odisea,IMAX Subtitulada,12:00,,,,https://cartelera.ar/pelicula/la-odisea
GBA Norte,Showcase,IMAX Showcase Norte,"Av. Ricardo Balbín 2550, Shopping Norcenter",La Odisea,IMAX Subtitulada,15:25,,,,https://cartelera.ar/pelicula/la-odisea
GBA Norte,Showcase,IMAX Showcase Norte,"Av. Ricardo Balbín 2550, Shopping Norcenter",La Odisea,IMAX Subtitulada,19:00,,,,https://cartelera.ar/pelicula/la-odisea
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Afterburn (Zona cero),2D Doblada,18:00,,,,https://multiplex.com.ar/peliculas/zona-cero/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Afterburn (Zona cero),2D Doblada,20:30,,,,https://multiplex.com.ar/peliculas/zona-cero/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Afterburn (Zona cero),2D Doblada,23:00,,,,https://multiplex.com.ar/peliculas/zona-cero/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Coyote vs. Acme,2D Doblada,13:30,,,,https://multiplex.com.ar/peliculas/coyote-vs-acme/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Coyote vs. Acme,2D Doblada,15:40,,,,https://multiplex.com.ar/peliculas/coyote-vs-acme/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Coyote vs. Acme,2D Doblada,17:50,,,,https://multiplex.com.ar/peliculas/coyote-vs-acme/
