zona,cadena,cine,direccion,pelicula,formato,horario,precio_general,precio_jubilado,precio_menor,url_pelicula
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Los Colores Del Tiempo,2D Subtitulada,16:30,,,,https://cartelera.ar/pelicula/los-colores-del-tiempo
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La invitación,2D Subtitulada,16:50,,,,https://cartelera.ar/pelicula/la-invitacion
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La invitación,2D Subtitulada,22:00,,,,https://cartelera.ar/pelicula/la-invitacion
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,14:50,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,18:30,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,19:20,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,22:15,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Spider-Man: Un nuevo día,3D Subtitulada,14:20,,,,https://cartelera.ar/pelicula/spider-man-un-nuevo-dia
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Spider-Man: Un nuevo día,2D Subtitulada,17:20,,,,https://cartelera.ar/pelicula/spider-man-un-nuevo-dia
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Babystar,2D Subtitulada,14:00,,,,https://cartelera.ar/pelicula/babystar
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Una quinta en Portugal,2D Doblada,13:50,,,,https://cartelera.ar/pelicula/una-quinta-en-portugal
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Hechizo de amor: La magia continúa,2D Subtitulada,13:50,,,,https://cartelera.ar/pelicula/hechizo-de-amor-la-magia-continua
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Hechizo de amor: La magia continúa,2D Subtitulada,16:40,,,,https://cartelera.ar/pelicula/hechizo-de-amor-la-magia-continua
