zona,cadena,cine,direccion,pelicula,formato,horario,precio_general,precio_jubilado,precio_menor,url_pelicula
GBA Sur,Atlas Cines,Atlas Catan,"Camino de Cintura 2727, Shopping Catan",Avengers: Endgame,4DX Doblada,14:00,,,,https://cartelera.ar/pelicula/avengers-endgame
GBA Sur,Atlas Cines,Atlas Catan,"Camino de Cintura 2727, Shopping Catan",Avengers: Endgame,4DX Doblada,17:40,,,,https://cartelera.ar/pelicula/avengers-endgame
GBA Sur,Atlas Cines,Atlas Catan,"Camino de Cintura 2727, Shopping Catan",Avengers: Endgame,4DX Doblada,21:20,,,,https://cartelera.ar/pelicula/avengers-endgame
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Avengers: Endgame Bonus - Infinity Vision,3D Subtitulada,14:30,,,,https://cartelera.ar/pelicula/avengers-endgame-bonus-infinity-vision
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Avengers: Endgame Bonus - Infinity Vision,3D Subtitulada,18:30,,,,https://cartelera.ar/pelicula/avengers-endgame-bonus-infinity-vision
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Avengers: Endgame Bonus - Infinity Vision,3D Subtitulada,22:00,,,,https://cartelera.ar/pelicula/avengers-endgame-bonus-infinity-vision
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Avengers: Endgame Bonus - Infinity Vision,2D Subtitulada,22:15,,,,https://cartelera.ar/pelicula/avengers-endgame-bonus-infinity-vision
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Avengers: Endgame Bonus - Infinity Vision,3D Subtitulada,22:30,,,,https://cartelera.ar/pelicula/avengers-endgame-bonus-infinity-vision
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Avengers: Endgame,4DX Doblada,14:40,,,,https://cartelera.ar/pelicula/avengers-endgame
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Avengers: Endgame,4DX Doblada,18:20,,,,https://cartelera.ar/pelicula/avengers-endgame
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Avengers: Endgame,2D Doblada,19:20,,,,https://cartelera.ar/pelicula/avengers-endgame
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Avengers: Endgame,4DX Doblada,22:00,,,,https://cartelera.ar/pelicula/avengers-endgame
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Avengers: Endgame,2D Subtitulada,22:20,,,,https://cartelera.ar/pelicula/avengers-endgame
CABA,Multiplex,Multiplex Lavalle,"Lavalle 780, CABA",Avengers: Endgame (re Estreno),4D (3D) Doblada,18:05,,,,https://multiplex.com.ar/peliculas/avengers-endgame-re-estreno/
CABA,Multiplex,Multiplex Lavalle,"Lavalle 780, CABA",Avengers: Endgame (re Estreno),2D XTREMO Doblada,18:40,,,,https://multiplex.com.ar/peliculas/avengers-endgame-re-estreno/
CABA,Multiplex,Multiplex Lavalle,"Lavalle 780, CABA",Avengers: Endgame (re Estreno),2D XTREMO Doblada,22:05,,,,https://multiplex.com.ar/peliculas/avengers-endgame-re-estreno/
GBA Sur,Multiplex,Multiplex Canning,"Formosa 653, Canning (Shopping Las Toscas)",Avengers: Endgame (re Estreno),2D XTREMO Doblada,18:30,,,,https://multiplex.com.ar/peliculas/avengers-endgame-re-estreno/
GBA Sur,Multiplex,Multiplex Canning,"Formosa 653, Canning (Shopping Las Toscas)",Avengers: Endgame (re Estreno),2D Doblada,19:10,,,,https://multiplex.com.ar/peliculas/avengers-endgame-re-estreno/
GBA Sur,Multiplex,Multiplex Canning,"Formosa 653, Canning (Shopping Las Toscas)",Avengers: Endgame (re Estreno),4D (3D) Doblada,19:30,,,,https://multiplex.com.ar/peliculas/avengers-endgame-re-estreno/
GBA Sur,Multiplex,Multiplex Canning,"Formosa 653, Canning (Shopping Las Toscas)",Avengers: Endgame (re Estreno),2D XTREMO Subtitulada,22:00,,,,https://multiplex.com.ar/peliculas/avengers-endgame-re-estreno/
