zona,cadena,cine,direccion,pelicula,formato,horario,precio_general,precio_jubilado,precio_menor,url_pelicula
GBA Norte,Showcase,IMAX Showcase Norte,"Av. Ricardo Balbín 2550, Shopping Norcenter",Afterburn (Zona cero),IMAX Subtitulada,19:50,,,,https://cartelera.ar/pelicula/afterburn-zona-cero
GBA Norte,Showcase,IMAX Showcase Norte,"Av. Ricardo Balbín 2550, Shopping Norcenter",La Odisea,IMAX Subtitulada,12:40,,,,https://cartelera.ar/pelicula/la-odisea
GBA Norte,Showcase,IMAX Showcase Norte,"Av. Ricardo Balbín 2550, Shopping Norcenter",La Odisea,IMAX Subtitulada,22:30,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Terminator 2: El juicio final,2D Subtitulada,22:00,,,,https://cartelera.ar/pelicula/terminator-2-el-juicio-final
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La vida es así,2D Subtitulada,19:00,,,,
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Un año de escuela,2D Subtitulada,16:30,,,,
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",El secuestro de Arabella,2D Subtitulada,21:30,,,,
GBA Norte,Cinépolis,Cinépolis Pilar,"Panamericana Km. 50, Pilar",Mahou Shoujo Madoka Magica Movie 3: Hangyaku no Monogatari,2D Subtitulada,18:00,,,,https://cartelera.ar/pelicula/mahou-shoujo-madoka-magica-movie-3-hangyaku-no-monogatari
GBA Norte,Cinépolis,Cinépolis Pilar,"Panamericana Km. 50, Pilar",Terminator 2: El juicio final,2D Subtitulada,22:00,,,,https://cartelera.ar/pelicula/terminator-2-el-juicio-final
GBA Sur,Cinépolis,Cinépolis Avellaneda,"Av. Mitre 2702, Avellaneda",Mahou Shoujo Madoka Magica Movie 3: Hangyaku no Monogatari,2D Subtitulada,18:00,,,,https://cartelera.ar/pelicula/mahou-shoujo-madoka-magica-movie-3-hangyaku-no-monogatari
GBA Sur,Cinépolis,Cinépolis Avellaneda,"Av. Mitre 2702, Avellaneda",Terminator 2: El juicio final,3D Doblada,20:30,,,,https://cartelera.ar/pelicula/terminator-2-el-juicio-final
GBA Sur,Cinépolis,Cinépolis Avellaneda,"Av. Mitre 2702, Avellaneda",Terminator 2: El juicio final,2D Doblada,22:00,,,,https://cartelera.ar/pelicula/terminator-2-el-juicio-final
CABA,Multiplex,Multiplex Belgrano,"Vuelta de Obligado 2199, Belgrano",Terminator 2: El juicio final,2D Subtitulada,20:00,,,,https://cartelera.ar/pelicula/terminator-2-el-juicio-final
CABA,Multiplex,Multiplex Belgrano,"Vuelta de Obligado 2199, Belgrano",Terminator 2: El juicio final,2D Subtitulada,22:00,,,,https://cartelera.ar/pelicula/terminator-2-el-juicio-final
CABA,Cine Independiente,CineArte Cacodelphia,"Roque Sáenz Peña 1150, Buenos Aires",A Metros de Distancia,2D Doblada,21:00,,,,
GBA Sur,Atlas Cines,Atlas Catan,"Camino de Cintura 2727, Shopping Catan",Terminator 2: El juicio final,2D Doblada,21:40,,,,https://cartelera.ar/pelicula/terminator-2-el-juicio-final
GBA Oeste,Cinépolis,Cinépolis Merlo,Av. Juan Domingo Perón 24098,Terminator 2: El juicio final,2D Doblada,22:00,,,,https://cartelera.ar/pelicula/terminator-2-el-juicio-final
CABA,Atlas Cines,Atlas Caballito,"Rivadavia 5071, Caballito",Terminator 2: El juicio final,2D Subtitulada,22:00,,,,https://cartelera.ar/pelicula/terminator-2-el-juicio-final
GBA Oeste,Cinépolis,Cinépolis Luján,"Av. Constitución 1000, Luján",Terminator 2: El juicio final,2D Subtitulada,22:00,,,,https://cartelera.ar/pelicula/terminator-2-el-juicio-final
CABA,Cinépolis,Cinépolis Houssay,"Av. Corrientes 917, Buenos Aires",Terminator 2: El juicio final,2D Subtitulada,22:00,,,,https://cartelera.ar/pelicula/terminator-2-el-juicio-final
GBA Norte,Showcase,Showcase Norte (Norcenter),"Colectora Panamericana 3750, Norcenter",Terminator 2: El juicio final,2D Subtitulada,22:10,,,,https://cartelera.ar/pelicula/terminator-2-el-juicio-final
GBA Oeste,Showcase,Showcase Haedo,"Av. Rivadavia 16.200, Shopping Haedo",Terminator 2: El juicio final,2D Subtitulada,22:10,,,,https://cartelera.ar/pelicula/terminator-2-el-juicio-final
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Terminator 2: El juicio final,2D Subtitulada,22:10,,,,https://cartelera.ar/pelicula/terminator-2-el-juicio-final
CABA,Multiplex,Multiplex Lavalle,"Lavalle 780, CABA",Terminator 2: El juicio final,2D Doblada,22:30,,,,https://cartelera.ar/pelicula/terminator-2-el-juicio-final
,Cinemark Hoyts,Quilmes,,PMMM LA PELICULA PARTE 1,2D Subtitulada,17:00,,,,https://www.cinemark.com.ar/peliculas/puella-magi-madoka-magica-la-pelicula-parte-1
