zona,cadena,cine,direccion,pelicula,formato,horario,precio_general,precio_jubilado,precio_menor,url_pelicula
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Avengers: Endgame (re Estreno),PLATINUM 2D Subtitulada,12:10,,,,https://multiplex.com.ar/peliculas/avengers-endgame-re-estreno/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Avengers: Endgame (re Estreno),4D (3D) Doblada,12:30,,,,https://multiplex.com.ar/peliculas/avengers-endgame-re-estreno/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Avengers: Endgame (re Estreno),3D Doblada,13:20,,,,https://multiplex.com.ar/peliculas/avengers-endgame-re-estreno/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Avengers: Endgame (re Estreno),XTREMO 2D Doblada,15:00,,,,https://multiplex.com.ar/peliculas/avengers-endgame-re-estreno/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Avengers: Endgame (re Estreno),3D Doblada,16:50,,,,https://multiplex.com.ar/peliculas/avengers-endgame-re-estreno/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Avengers: Endgame (re Estreno),4D (3D) Doblada,18:00,,,,https://multiplex.com.ar/peliculas/avengers-endgame-re-estreno/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Avengers: Endgame (re Estreno),PLATINUM 2D Subtitulada,18:50,,,,https://multiplex.com.ar/peliculas/avengers-endgame-re-estreno/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Avengers: Endgame (re Estreno),3D Doblada,20:50,,,,https://multiplex.com.ar/peliculas/avengers-endgame-re-estreno/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Avengers: Endgame (re Estreno),4D (3D) Doblada,21:30,,,,https://multiplex.com.ar/peliculas/avengers-endgame-re-estreno/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Avengers: Endgame (re Estreno),XTREMO 2D Doblada,22:00,,,,https://multiplex.com.ar/peliculas/avengers-endgame-re-estreno/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Coyote vs. Acme,2D Doblada,13:10,,,,https://multiplex.com.ar/peliculas/coyote-vs-acme/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Coyote vs. Acme,2D Doblada,15:10,,,,https://multiplex.com.ar/peliculas/coyote-vs-acme/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Coyote vs. Acme,2D Doblada,17:30,,,,https://multiplex.com.ar/peliculas/coyote-vs-acme/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",El corazón de la bestia,2D Doblada,12:50,,,,https://multiplex.com.ar/peliculas/el-corazon-de-la-bestia/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",El corazón de la bestia,2D Subtitulada,17:50,,,,https://multiplex.com.ar/peliculas/el-corazon-de-la-bestia/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",El corazón de la bestia,2D Doblada,20:00,,,,https://multiplex.com.ar/peliculas/el-corazon-de-la-bestia/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",El corazón de la bestia,2D Subtitulada,22:20,,,,https://multiplex.com.ar/peliculas/el-corazon-de-la-bestia/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",El último gran golpe,2D Doblada,15:30,,,,https://multiplex.com.ar/peliculas/el-ultimo-gran-golpe/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",El último gran golpe,2D Doblada,23:10,,,,https://multiplex.com.ar/peliculas/el-ultimo-gran-golpe/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Her Private Hell,2D Subtitulada,23:00,,,,https://cartelera.ar/pelicula/her-private-hell
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",La isla olvidada,2D Doblada,12:20,,,,https://multiplex.com.ar/peliculas/la-isla-olvidada/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",La isla olvidada,2D Doblada,14:20,,,,https://multiplex.com.ar/peliculas/la-isla-olvidada/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",La isla olvidada,2D Doblada,16:30,,,,https://multiplex.com.ar/peliculas/la-isla-olvidada/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",La isla olvidada,2D Doblada,18:40,,,,https://multiplex.com.ar/peliculas/la-isla-olvidada/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",La noche del demonio: Están entre nosotros,2D Doblada,22:40,,,,https://multiplex.com.ar/peliculas/la-noche-del-demonio-estan-entre-nosotros/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",La Odisea,2D Subtitulada,12:10,,,,https://multiplex.com.ar/peliculas/la-odisea/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",La Odisea,PLATINUM 2D Subtitulada,15:30,,,,https://multiplex.com.ar/peliculas/la-odisea/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",La Odisea,2D Subtitulada,17:40,,,,https://multiplex.com.ar/peliculas/la-odisea/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",La Odisea,PLATINUM 2D Subtitulada,22:10,,,,https://multiplex.com.ar/peliculas/la-odisea/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Pepita la Pistolera,2D Doblada,20:50,,,,https://multiplex.com.ar/peliculas/pepita-la-pistolera/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Resident Evil: Noche Cero,2D Doblada,12:10,,,,https://multiplex.com.ar/peliculas/resident-evil-noche-cero/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Resident Evil: Noche Cero,2D Doblada,14:10,,,,https://multiplex.com.ar/peliculas/resident-evil-noche-cero/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Resident Evil: Noche Cero,4D (2D) Doblada,15:50,,,,https://multiplex.com.ar/peliculas/resident-evil-noche-cero/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Resident Evil: Noche Cero,2D Doblada,16:20,,,,https://multiplex.com.ar/peliculas/resident-evil-noche-cero/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Resident Evil: Noche Cero,2D Doblada,18:20,,,,https://multiplex.com.ar/peliculas/resident-evil-noche-cero/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Resident Evil: Noche Cero,2D Doblada,20:30,,,,https://multiplex.com.ar/peliculas/resident-evil-noche-cero/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Resident Evil: Noche Cero,2D Doblada,22:30,,,,https://multiplex.com.ar/peliculas/resident-evil-noche-cero/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Spider-Man: Un nuevo día,2D Doblada,12:10,,,,https://multiplex.com.ar/peliculas/spider-man-un-dia-nuevo/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Spider-Man: Un nuevo día,2D Doblada,14:50,,,,https://multiplex.com.ar/peliculas/spider-man-un-dia-nuevo/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Spider-Man: Un nuevo día,2D Doblada,19:40,,,,https://multiplex.com.ar/peliculas/spider-man-un-dia-nuevo/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Su Propio Infierno,2D Subtitulada,23:00,,,,https://multiplex.com.ar/peliculas/su-propio-infierno/
GBA Norte,Multiplex,Multiplex Pilar,"Las Magnolias 754, Palmas del Pilar",Yo Narciso,2D Doblada,21:10,,,,https://multiplex.com.ar/peliculas/yo-narciso/
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",El corazón de la bestia,2D Subtitulada,12:30,,,,https://cartelera.ar/pelicula/el-corazon-de-la-bestia
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",El corazón de la bestia,2D Subtitulada,15:00,,,,https://cartelera.ar/pelicula/el-corazon-de-la-bestia
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",El corazón de la bestia,2D Subtitulada,17:20,,,,https://cartelera.ar/pelicula/el-corazon-de-la-bestia
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",El corazón de la bestia,2D Subtitulada,19:45,,,,https://cartelera.ar/pelicula/el-corazon-de-la-bestia
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",El corazón de la bestia,2D Subtitulada,22:10,,,,https://cartelera.ar/pelicula/el-corazon-de-la-bestia
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La invitación,2D Subtitulada,22:00,,,,https://cartelera.ar/pelicula/la-invitacion
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,15:00,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,18:50,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La Odisea,2D Subtitulada,22:30,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Una quinta en Portugal,2D Doblada,14:30,,,,https://cartelera.ar/pelicula/una-quinta-en-portugal
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Hechizo de amor: La magia continúa,2D Subtitulada,19:00,,,,https://cartelera.ar/pelicula/hechizo-de-amor-la-magia-continua
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Resident Evil: Noche Cero,2D Subtitulada,13:15,,,,https://cartelera.ar/pelicula/resident-evil-noche-cero
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Resident Evil: Noche Cero,2D Subtitulada,15:30,,,,https://cartelera.ar/pelicula/resident-evil-noche-cero
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Resident Evil: Noche Cero,2D Subtitulada,17:40,,,,https://cartelera.ar/pelicula/resident-evil-noche-cero
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Resident Evil: Noche Cero,2D Subtitulada,20:00,,,,https://cartelera.ar/pelicula/resident-evil-noche-cero
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Resident Evil: Noche Cero,2D Subtitulada,22:20,,,,https://cartelera.ar/pelicula/resident-evil-noche-cero
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Resident Evil: Noche Cero,2D Subtitulada,23:00,,,,https://cartelera.ar/pelicula/resident-evil-noche-cero
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La isla olvidada,2D Doblada,12:40,,,,https://cartelera.ar/pelicula/la-isla-olvidada
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La isla olvidada,3D Doblada,15:10,,,,https://cartelera.ar/pelicula/la-isla-olvidada
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",La isla olvidada,2D Doblada,17:45,,,,https://cartelera.ar/pelicula/la-isla-olvidada
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Coyote vs. Acme,2D Subtitulada,14:00,,,,https://cartelera.ar/pelicula/coyote-vs-acme
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Coyote vs. Acme,2D Subtitulada,16:30,,,,https://cartelera.ar/pelicula/coyote-vs-acme
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Tres adioses,2D Subtitulada,17:10,,,,https://cartelera.ar/pelicula/tres-adioses
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Tres adioses,2D Subtitulada,20:15,,,,https://cartelera.ar/pelicula/tres-adioses
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Avengers: Endgame Bonus - Infinity Vision,3D Subtitulada,13:30,,,,https://cartelera.ar/pelicula/avengers-endgame-bonus-infinity-vision
CABA,Cinépolis,Cinépolis Recoleta,"Vicente López 2050, Recoleta",Avengers: Endgame Bonus - Infinity Vision,2D Subtitulada,14:00,,,,https://cartelera.ar/pelicula/avengers-endgame-bonus-infinity-vision
